date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2019-12-03,Crystal Palace,Bournemouth,1,0,15,0.36,0.32
2019-12-03,Burnley,Man City,1,4,15,0.45,2.39
2019-12-04,Chelsea,Aston Villa,2,1,15,1.85,0.80
2019-12-04,Leicester,Watford,2,0,15,2.14,0.19
2019-12-04,Man Utd,Spurs,2,1,15,1.38,0.51
2019-12-04,Southampton,Norwich,2,1,15,1.87,0.84
2019-12-04,Wolves,West Ham,2,0,15,1.70,0.47
2019-12-04,Liverpool,Everton,5,2,15,2.26,1.65
2019-12-05,Sheffield Utd,Newcastle,0,2,15,1.02,0.50
2019-12-05,Arsenal,Brighton,1,2,15,0.90,1.43
2019-12-07,Everton,Chelsea,3,1,16,1.91,1.18
2019-12-07,Bournemouth,Liverpool,0,3,16,0.14,2.85
2019-12-07,Spurs,Burnley,5,0,16,2.24,1.02
2019-12-07,Watford,Crystal Palace,0,0,16,1.47,0.20
2019-12-07,Man City,Man Utd,1,2,16,1.94,1.53
2019-12-08,Aston Villa,Leicester,1,4,16,1.16,3.77
2019-12-08,Newcastle,Southampton,2,1,16,1.03,1.77
2019-12-08,Norwich,Sheffield Utd,1,2,16,0.55,0.67
2019-12-08,Brighton,Wolves,2,2,16,0.89,1.75
2019-12-09,West Ham,Arsenal,1,3,16,0.49,1.67
2019-12-14,Liverpool,Watford,2,0,17,1.46,0.95
2019-12-14,Burnley,Newcastle,1,0,17,1.34,1.02
2019-12-14,Chelsea,Bournemouth,0,1,17,1.89,1.13
2019-12-14,Leicester,Norwich,1,1,17,0.99,1.09
2019-12-14,Sheffield Utd,Aston Villa,2,0,17,1.76,0.91
2019-12-14,Southampton,West Ham,0,1,17,0.75,0.84
2019-12-15,Man Utd,Everton,1,1,17,1.39,0.26
2019-12-15,Wolves,Spurs,1,2,17,0.67,0.92
2019-12-15,Arsenal,Man City,0,3,17,0.26,1.58
2019-12-16,Crystal Palace,Brighton,1,1,17,0.45,2.32
2019-12-21,Everton,Arsenal,0,0,18,0.45,0.82
2019-12-21,Aston Villa,Southampton,1,3,18,0.86,2.46
2019-12-21,Bournemouth,Burnley,0,1,18,0.13,0.13
2019-12-21,Brighton,Sheffield Utd,0,1,18,0.40,1.55
